generation,best,mean,worst
0,6.781205906892932,-88.68129211722442,-138.6523836523803
1,-4.668879017207945,-86.92206294677689,-141.20347437604988
2,-6.741808618148004,-88.15377658677808,-138.50177169369553
3,-2.9074041598952594,-81.62246948348769,-139.27141639669196
4,-8.160507710354846,-81.06940742337503,-140.10203059864045
5,-1.3604008776398806,-83.29538617043279,-140.35456580536425
6,-2.8558585090600856,-85.82876493098182,-145.53154596926606
7,-3.4349138599010365,-78.18153757342506,-142.70714902151946
8,-2.2736798993524765,-82.01134809131868,-143.44291573268276
9,-5.213697598419386,-81.33525610792638,-136.6345234631157
10,4.17279998736776,-73.47515915513515,-140.5128331939915
11,-5.650196497733928,-74.07516359786442,-150.7736335864123
12,11.43297019725927,-77.09950190426889,-142.20607780033038
13,-6.988479644242802,-70.04359142993036,-143.14793502748944
14,13.523167488181853,-71.2857381811527,-144.0106659597502
15,-8.201865432618796,-68.09644471477564,-142.3137910439046
16,-5.7946397113048915,-59.20892071367768,-144.03448632138267
17,-1.2061230265639593,-58.079528579773466,-138.79880004895793
18,-2.0116852516182857,-52.25629926187203,-141.0178311242604
19,-3.083778404498433,-44.52992646668461,-144.8955480748252
20,-0.8898708436037117,-46.28943782683942,-135.56381653503615
21,-1.6833078280377456,-41.541609890480196,-138.76705484076763
22,-6.488725533482282,-34.602771587313114,-139.53759216827513
23,-2.155885335228203,-34.940411117291795,-133.73584393647897
24,-5.617337131384941,-34.50834455594706,-147.9711969744289
25,-6.216042429594016,-30.750724336847316,-133.2780110509887
26,0.6256818691236289,-31.21798177909785,-136.34772601763862
27,-2.2912199193090883,-34.54350462480133,-133.7373218557678
28,-2.8649813798455255,-32.02604495736386,-138.13564876529023
29,-0.8447935719964063,-31.110889338396575,-141.0134920434299
30,-2.502886008352849,-28.015851806926065,-127.71849991777195
31,-1.7855285430465888,-28.356233699917073,-140.80131226194908
32,-3.319486696188091,-27.261051713215483,-128.54630879826044
33,-0.7608480594430337,-29.463841648752158,-133.1421285216108
34,-4.536374420896383,-29.1741200719723,-138.86573463631834
35,-0.8698845972571871,-26.16155896421741,-141.75272805857526
36,-1.719881707501794,-27.868561406283934,-127.40547990720418
37,2.906110145643255,-24.2944701997548,-131.8748404851755
38,-2.771841311649888,-25.308929337365335,-128.66662393582862
39,-1.4835796304147717,-24.285405631057575,-140.88385769410428
40,-1.7046298325723641,-23.099260473791468,-125.5496127791707
41,-2.6621874030158685,-23.22723110539018,-134.7605550259674
42,4.427201283204048,-23.059332884030383,-131.09736974606284
43,2.9660242798500245,-23.446248345852318,-141.0541078828488
44,1.1616594554932202,-21.640546964683544,-128.53066631086747
45,2.6132116903425393,-21.902801380561396,-133.13037709749543
46,2.5343270978864743,-21.110776543188972,-130.11261174782487
47,1.5602354487528713,-20.702554847497918,-125.27334951944506
48,1.7801810206968867,-21.572267941963915,-132.59368352883916
49,3.628068563358139,-19.448015128107023,-129.66496537054994
50,3.6935984443505054,-23.365593558793716,-125.50603606483084
51,1.3689867506541047,-20.202491541246776,-135.30301179388908
52,7.012332487884814,-20.861543407599427,-129.0417917541213
53,4.196630199972682,-20.525857929279763,-135.84306752268014
54,-0.8406525292388265,-19.53250156054515,-130.58094568283198
55,1.6208600368075021,-18.068823590414294,-134.54983078512979
56,3.8696346375662802,-21.692697569125066,-135.77230312637812
57,2.4809028100632067,-16.55832440029128,-126.08283174321807
58,1.5948491554134416,-18.732973871565786,-131.25096315704855
59,4.481742732606962,-18.190722312305688,-137.86701627280274
60,4.429462674536369,-19.897338568522773,-129.39093435670895
61,3.850117551336134,-19.63448142365451,-131.51653594506084
62,7.299897793357402,-18.235997819102288,-135.75913053240185
63,2.4008386712780525,-17.747384884546612,-129.3593694070169
64,5.314323368715456,-19.099636071979475,-138.4570081336022
65,9.919477717417607,-19.10380902158271,-135.69726843862006
66,3.5501421510204594,-18.82297338173185,-128.13924409363062
67,6.648449647105044,-17.856370893016138,-137.04387195371928
68,3.778343622120156,-19.430149523332766,-140.44987514919154
69,6.433474606503995,-19.915963919131013,-132.31834788990494
70,7.046336580435363,-17.491087020227333,-133.33802200648745
71,3.9431241179928835,-17.60567486095868,-133.15628716945943
72,3.873051860515738,-16.889793374733806,-134.51919778820047
73,3.449793459187168,-17.192495417158874,-133.3125490079281
74,4.5656057329764765,-15.542006186590525,-122.56915217760266
75,5.6563700237804175,-18.17595583193421,-135.51880720746095
76,6.7330236902178004,-13.834477006631541,-128.07028447678138
77,10.647130587787185,-12.369536945492273,-134.8809936571555
78,10.798779674069289,-15.01883565008389,-128.93616660959748
79,7.787996939846397,-12.963314783869547,-124.88596385387808
80,7.734027783215547,-11.306849904193527,-133.54194371702675
81,8.197958074674283,-13.674780236720931,-139.77733579127704
82,6.781109665177912,-12.854152468324509,-130.5636844535106
83,5.871913247533212,-13.793622443322583,-125.18409446471281
84,7.747055755760065,-13.442447876730753,-120.94916079053768
85,11.058022327394768,-14.26039045983132,-141.39531022574903
86,6.653865397460597,-11.774750576080708,-124.35558119021634
87,8.66469741720136,-15.253831712475819,-137.6878523767838
88,7.005036428570708,-11.788703897734177,-133.51144212914505
89,8.195363344615968,-11.936830217969977,-140.04210754549993
90,8.71832287991791,-11.885120640878265,-133.79857714515242
91,8.549455591272904,-11.896428995015954,-125.16538584945083
92,9.520052542057053,-13.40267128758223,-137.01127355383025
93,8.759340785766637,-11.92698281230043,-125.22966765585697
94,7.101706343106684,-11.07621162195696,-126.86603324260858
95,11.89351986234066,-11.600961226314023,-135.1242572989895
96,13.470383579733074,-10.982567790537987,-138.88432898710042
97,8.455417463846365,-10.496473067138805,-125.76818005465195
98,6.184143199680712,-11.729407228649723,-133.85888094363963
99,11.177952607735305,-12.986838154364406,-131.3636010472829
100,17.39566788395682,-13.22688544372013,-132.50255362983725
101,9.553919017398126,-12.252893780866334,-116.62600765983852
102,11.926935189694692,-12.617474313483367,-134.81081942440352
103,10.59219952212444,-12.964396897947099,-132.55712867730483
104,7.0872349452929955,-10.36122971115016,-133.15366685640055
105,11.100633311465248,-9.974708061092356,-136.57874809677494
106,11.16182366289012,-10.822649716545001,-119.34382176880439
107,14.908668866048037,-10.647831841930588,-128.73261192856887
108,14.066889179396588,-13.03584248130472,-141.70885174163516
109,11.3031817537347,-13.3495197758013,-125.6892785005731
110,14.288499916630771,-8.336706292772083,-139.52408518093446
111,16.366221451998417,-12.183966617160806,-144.3103059422584
112,17.457747531353306,-9.604107704304349,-125.18605660054745
113,12.325542750179698,-12.51721771908597,-130.2968435701095
114,14.9119621095685,-10.686553649944011,-126.36355337105462
115,12.876344357389447,-9.03457446783925,-129.12654364304214
116,14.43251990627988,-10.824619361854156,-129.99775184611383
117,13.81704672285723,-11.852575291907169,-138.43792613687202
118,12.846168778357416,-9.797693270407102,-140.56682748034393
119,16.6512761447524,-8.762878170496588,-133.21887639144305
120,19.67278716075787,-8.616639779230555,-122.7085863124656
121,15.17143197307573,-11.282978056210446,-133.84956869612236
122,27.329213531906355,-14.17666232969294,-132.10028477499452
123,15.370044634917502,-6.980143646988691,-124.2080239087289
124,18.842912996832347,-15.95084449940191,-138.92897950196726
125,18.87030151419658,-9.572367532401792,-129.25426802383976
126,17.42852064199981,-12.665916468649225,-123.80588704002099
127,20.241470090450893,-8.98174940889147,-132.25103283728373
128,21.952418427506718,-16.83873371424096,-133.24143759325864
129,17.12080911503553,-12.723778235228881,-128.393848661322
130,15.498845522089722,-11.609941824617795,-139.16080079176575
131,18.529488981879936,-10.441366357279563,-139.45268740094366
132,19.516371215343256,-13.416397006636453,-133.7092509359979
133,21.243083492509033,-12.954065538357488,-133.65460901464297
134,14.879356745409549,-14.171217742553813,-126.9293846244798
135,21.794233175035895,-11.81773385324385,-145.81124113223154
136,23.984237732311154,-9.016489846792389,-130.31648604154483
137,24.150049993033807,-9.532046907759513,-138.63721319319183
138,19.616167866929768,-12.512891881881727,-134.81696742016524
139,25.140143035697637,-12.281418170657167,-137.27634384212132
140,25.48303538423327,-10.31607061306564,-136.44119075311363
141,28.229266871474348,-9.578872352640989,-137.3283204574714
142,23.414714140316903,-12.862176295899424,-136.52772054122673
143,23.48292261652913,-15.866154176924784,-142.5260508267376
144,25.18680507291787,-12.154604388415231,-138.33270822290342
145,26.13308108361223,-5.7239417675817235,-135.5846865988346
146,22.210550673188983,-9.599743867316688,-136.05908364769573
147,24.09171172750987,-10.785887282843259,-139.46366914774734
148,21.4024264004867,-14.322620830617696,-141.55304774624392
149,19.73251155271517,-10.020052834009073,-125.1921532653489
150,20.030687380780304,-13.129137310329781,-129.5934073714435
151,21.5395457951295,-12.941217505155242,-135.2402282808452
152,19.3113876618565,-18.432954990850615,-140.873194313934
153,20.6149529188611,-8.533675905956416,-137.9732030218476
154,20.39281150152219,-11.317124940888302,-128.3793739472732
155,20.84431546205423,-15.878728323622681,-138.122080424547
156,20.142081520824764,-12.914370699177057,-131.96476503021918
157,22.012786726791838,-12.584800988283787,-131.20938643996084
158,22.556280083616926,-10.623098922407461,-132.30241064561653
159,21.754729551667342,-11.708870805183391,-125.51111789441201
160,20.419264528816896,-16.500399605987308,-142.53076214214883
161,26.566045705769987,-13.9994806627242,-123.74458497137263
162,19.6098493845603,-11.76446976665368,-126.81094804924032
163,22.228720519285638,-10.375576881017123,-139.14242521298831
164,21.073272419646543,-9.187410168669599,-122.636549871548
165,24.758262523587927,-9.782287948212755,-128.69798400299402
166,24.214551574795607,-9.153279394433246,-132.81788713272172
167,26.495605442656313,-8.372497999762732,-138.93939916844226
168,23.774189153400332,-14.301023552259979,-140.88087712456198
169,23.481852618902046,-14.626615356763903,-135.54561167125703
170,25.08572708441147,-17.80915553555053,-133.21173209407965
171,21.691357311505946,-13.66532230323724,-141.54563102676065
172,23.6936707691713,-15.332981647989955,-135.21318695257045
173,24.508454969744196,-12.919034112060686,-130.66643987895932
174,21.509412178168553,-12.83530451834651,-130.45739749842585
175,21.478141879949668,-12.570048895525384,-121.93142325612732
176,20.982074845645034,-12.969113362379153,-131.13816449797213
177,21.433355615225803,-10.97080840282758,-138.5954037033995
178,22.902160063358313,-7.537158326804786,-129.68728141184022
179,26.55940109251745,-10.259115024186471,-129.12351394001124
180,24.289846345871577,-10.707874751143923,-130.0513212825136
181,30.76893606391156,-12.053873883487753,-138.4953568933851
182,25.431840547958814,-13.627911122457963,-130.82287809903514
183,25.48741433835732,-16.48461537938614,-135.10917878152378
184,25.264387704403592,-11.495977650740393,-139.35184271632303
185,19.90847045619728,-7.930419828446893,-134.56260953867536
186,23.465533635928452,-15.71673917203098,-137.3792597017451
187,24.08696605669691,-13.102248237903359,-130.80066167633495
188,24.471775105294213,-15.001317203660529,-126.24912719121991
189,24.982975483017114,-9.570814360879405,-128.41235313960917
190,26.85606992357862,-12.842943428485547,-129.23714418333896
191,21.769279130091245,-5.800069990870192,-142.79125089800021
192,21.235626083681193,-13.994560004277533,-136.84761305250333
193,26.15243779199431,-10.207704567006164,-123.34754644634414
194,24.231252750946396,-9.746165844781414,-138.2227833837673
195,23.487167791656123,-10.075597852088254,-131.46551507475147
196,24.226534204092545,-10.230251555257912,-127.5729553488697
197,25.380530444333317,-11.216141538747019,-136.51118629681645
198,23.602822470031242,-8.104198521325753,-139.61305917022773
199,23.368284395177504,-11.758032789429205,-139.05565787994652
200,23.7650172120473,-13.892705901594791,-123.5767138856225
201,21.13475224368155,-5.913611845121029,-129.2307226208204
202,28.149044811401293,-11.017542129582555,-139.97083575106385
203,23.313396946477074,-8.289917105717329,-140.27990443628545
204,22.209881388969894,-5.688644967755705,-124.24892583203976
205,24.57181475723329,-8.465422515155787,-141.04930241948594
206,24.706465132533754,-9.290328077898328,-141.56834525757913
207,23.900285355621623,-10.69840972419508,-125.92406632075804
208,29.47321644017562,-8.808561307309855,-148.0975108490201
209,27.438308655584553,-13.814142674819779,-125.84487074345313
210,25.916086116975944,-10.923312632299357,-140.42112782857996
211,27.148096191497384,-8.869985216280213,-129.79963864570567
212,25.56291435630735,-11.622072036593837,-130.4093984516265
213,23.774547778232755,-11.370775043792012,-123.52132694996112
214,23.197945962625475,-7.067950870832793,-127.18609465939468
215,25.095710791179393,-8.58948261401301,-124.4526125994315
216,23.687905928735276,-11.656382180077687,-121.089627817224
217,23.53578742777824,-5.531824134626524,-144.5763495669915
218,23.612834411500447,-13.259307902449823,-125.23213169644636
219,25.157273643937945,-7.797743729697425,-122.31757806856204
220,23.688762170550444,-6.000518898625487,-127.06556749783104
221,23.54563895785105,-7.565557426930849,-128.34852585844638
222,25.92582664674222,-9.032449719002281,-132.00552548483887
223,23.305860401387463,-10.172332570992827,-134.73955551439485
224,27.758499661007832,-11.995961067942817,-133.36804169798828
225,22.109114720753155,-6.606854582364261,-119.3521315562906
226,24.602943343532417,-5.386014139644467,-133.12315138520125
227,23.37240741927438,-8.026114385141705,-126.18898543340666
228,27.286018764871148,-9.519880851225453,-125.96998329844172
229,26.41628018170602,-9.320889104778903,-134.84680850225877
230,24.09604698436283,-13.080413725270118,-143.1528683836437
231,23.21997265303905,-10.96049269709162,-134.04036058421576
232,27.7186129322834,-6.365411389062107,-120.98733184869128
233,23.33524720389381,-8.2968895041003,-123.59897758069519
234,24.44369429468677,-7.8214658873486815,-132.84541656064772
235,24.581207264404387,-7.871041010184983,-140.14727507046803
236,27.350694778261737,-10.786666088929833,-126.05097650135463
237,28.90680850788395,-12.569657877585477,-139.72916736140166
238,24.488341833451145,-14.10274267262284,-122.26719045803664
239,23.166816809682725,-11.42835279943851,-138.62799320338564
240,28.354539403370865,-8.95000889255851,-123.04038133828173
241,28.320898301951043,-9.100587275657967,-138.0987421608587
242,26.00920315213576,-8.452713097469424,-121.76561918294567
243,29.178771935352167,-6.599556833307309,-132.50116120918585
244,28.034976936640525,-8.952055211670853,-132.29186314745073
245,26.923084981450568,-12.01821934552393,-140.65035725937517
246,26.53925830963961,-7.898059132851294,-127.96502323396803
247,27.660250221166805,-4.743792207577294,-120.9336261650813
248,33.0470402139687,-11.478242975842678,-139.77117908056476
