generation,best,mean,worst
249,26.795811889351402,-5.516312441619843,-127.05204664425241
250,25.109855216668592,-16.069810928157203,-133.74720340722078
251,25.14930038097886,-5.93146099581903,-143.01335433241184
252,28.214838681150283,-5.22329764619119,-128.18445258735585
253,30.73832992241533,-9.010846253879974,-119.13530634881872
254,27.14050334429118,-11.433838828575162,-127.7728011192348
255,25.925793970723685,-7.525698547952903,-131.39612110765395
256,25.880556662786244,-6.225514575252609,-128.95027860503689
257,28.681180964060957,-9.012809995781828,-124.09921596052799
258,30.352024605804445,-5.659965221679366,-123.25771822448729
259,27.06508490748892,-7.241578445254406,-141.3878940130336
260,25.356549238611894,-9.016054167758234,-143.50388584182082
261,27.715965239527815,-7.412006777789292,-128.87764122436494
262,26.11890068562031,-7.641904467639956,-127.20984854799003
263,25.723516793380067,-7.6803578739045815,-139.55087232159923
264,31.62162212327064,-5.439335818512626,-138.78155587624877
265,26.542583695859513,-7.307446173853943,-133.0164914423898
266,26.219649765423064,-14.665691528934294,-130.53640017170022
267,25.223089709040792,-4.573493931381686,-126.93338659176094
268,26.462700282091237,-11.248228065216106,-136.67145880642397
269,26.4946010034061,-10.591023685998849,-135.46121577501629
270,28.33875300270115,-6.82977884172815,-126.3187959843868
271,24.968844250992063,-7.093704360054534,-123.99565233569845
272,25.05287996232459,-1.042915019376298,-120.30836816903397
273,25.226022658743656,-9.552026058567357,-132.65850405843193
274,35.24257351204155,-6.307338384372409,-129.75628126389813
275,26.626511794290266,-6.921819325790775,-121.67945119011397
276,25.51200173417028,-8.819532879440395,-131.35028135863496
277,27.92398483906437,-13.263898852036528,-140.86462770180532
278,26.31295684658449,-8.956567807032577,-122.01486447186582
279,30.631502668568967,-8.870043281063024,-133.0801138406722
280,30.0474206554723,-7.937667841848979,-129.3665754351465
281,25.460268291179705,-8.732106464679603,-142.74361236619472
282,29.302257686815352,-7.409823415637272,-123.26871229213491
283,25.239441842932468,-5.419277637434908,-119.26973027071931
284,28.479436526120693,-8.325234218234106,-122.55801472960466
285,28.403551685378076,-4.687821988442322,-120.5645633849449
286,28.47859003157101,-8.8841548642867,-128.22337797577433
287,29.12703535977414,-8.512271597360785,-142.8294566554759
288,26.472135723201443,-9.072398723828968,-119.18125775910089
289,29.375082433138118,-6.436543930103888,-124.2190125490436
290,28.173032792156242,-10.945422442760137,-145.81237332684918
291,26.828984136263745,-10.393476656159933,-139.83139196284017
292,28.42639359618887,-5.810394300855213,-140.65840502307407
293,27.28602526036931,-5.9305842420575114,-119.67456224159706
294,30.13080111500199,-1.89442114266198,-123.34442377883902
295,29.347247662697114,-4.787412273888976,-117.86109934428444
296,29.26179234830862,-8.576326235525539,-126.43194579827696
297,29.121954036969868,-6.524451661995117,-126.75999662331267
298,27.640066330522362,-6.415526296637035,-125.60028973691432
299,26.20253064631654,-7.578019212157501,-131.0108012420512
300,26.926516628011548,-10.044334201652275,-128.1096941964826
301,29.246726572393165,-7.861741539715728,-126.43271579089637
302,27.146882916078777,-6.205940114723251,-126.22767206748892
303,28.367975409379596,-9.269601507913597,-120.60575804402853
304,28.95492492033298,-8.82065334199658,-138.6691469665511
305,27.893687615046783,-11.01782601593373,-121.91446905122183
306,31.80867936149357,-5.793367937520016,-140.12630860084627
307,31.796187693462976,-10.124941471360515,-129.36317201553408
308,26.436402564571345,-7.147681648863693,-121.42687159835548
309,28.61112193369927,-7.982426328883365,-124.0554242880487
310,29.166435277231777,-5.130366969873137,-121.24666207105531
311,30.92210109491628,-9.285136594115363,-126.53472122535133
312,29.90806842923676,-5.41795848473555,-122.85336633687089
313,29.925926857046512,-10.528441531233144,-126.40567302136799
314,29.051867590899672,-8.737698192536861,-122.96772283798926
315,28.182753723903033,-6.421165459482906,-127.29724894310228
316,30.229481400702905,-5.637846760917894,-125.99354681476831
317,31.339018694717648,-3.465494374260783,-124.13187619743613
318,29.327839895779398,-8.59208688385079,-127.42390926002301
319,28.991563002582353,-4.225642377279451,-136.02690923632628
320,26.399595484387735,-9.761430894821524,-122.77937658391426
321,33.573463056494084,-9.325594527532077,-152.35812795280154
322,32.05173871798466,-7.093671985193791,-116.1314750023069
323,28.848969369391664,-6.5352078005050735,-143.26520415241617
324,30.387173990700596,-9.315337123247959,-119.72652828902136
325,28.621261927794194,-4.1774299610908425,-116.07771886509732
326,29.92097036760698,-2.1402314435652423,-130.30567323604342
327,28.783843034296805,-9.257937727028905,-125.62432224666912
328,29.647412421428818,-4.891238668976187,-127.28269478934784
329,31.968397762363338,-7.116761532242322,-117.78759235393615
330,29.79588991016298,-2.0925011539872393,-119.09395930665481
331,30.837823778945527,-6.298692108393833,-125.29722341938749
332,29.102535073204756,-2.9452521360292008,-128.8302026266436
333,30.67621526292222,-9.074111069498523,-120.51703276505914
334,34.38574006457159,-6.0315047004316895,-121.92436199015842
335,31.014765191239594,-6.969705463380956,-121.84667232655951
336,30.646409574388766,-6.61052213304858,-140.69225134663688
337,30.78238675664075,-0.25979749096675064,-122.50711860169955
338,34.06696632956706,-3.494196335291284,-120.43258499256015
339,32.52471630583847,-9.655685272255816,-136.3452349537971
340,30.80032389352014,-6.888309525855558,-123.10144781376943
341,33.57502400955007,-3.5368575165668408,-132.7824628156774
342,31.14515511046969,-3.9929358310794076,-123.08610884657257
343,31.956988933019048,-6.243355487551714,-121.01146216724787
344,30.65213834116448,-3.2130542899214474,-125.2865962445571
345,31.585109873413803,-6.162236261822159,-120.2194612437382
346,33.38056007967813,-4.453980167143532,-118.05383856910663
347,31.545855219992855,-3.313297425644825,-125.84908064985439
348,35.181567911272715,-3.9700365061608545,-121.91786734052019
349,34.10412867174924,-6.016894568509603,-125.46631096707004
350,33.495984984983004,-6.527766714615663,-128.3186960511124
351,33.74160046459526,-1.8295417896201842,-119.72004059724463
352,32.43722819334494,-0.48775375110365315,-125.42133114017264
353,34.97015533121504,-4.292650915285024,-123.63347000674567
354,35.40418453962509,-7.242834708595103,-131.5178801682123
355,31.586175443641476,-7.190417242439817,-131.55626439736793
356,31.477326921628148,-1.8848125214483156,-142.70113601931524
357,33.50148604144024,-4.185102767861597,-137.9980631005425
358,32.29477019340311,0.6777264963800872,-121.3866540385785
359,31.397757059452246,-0.5424358861493788,-124.53623311633905
360,38.13167191718737,-2.0463310396608256,-136.27767524439383
361,32.83409407212281,-3.791643599315948,-119.48134541325513
362,33.29099580437599,-5.094021533720893,-123.22494492461809
363,34.51246393547162,-8.179297499830529,-144.14375112229914
364,35.32675406889184,-2.076406204506904,-127.6148168778133
365,33.193119310444864,-4.657702667514501,-118.2551811743796
366,35.32421854126514,-3.8857693511862372,-122.1668208563842
367,34.71463535912121,-2.830024371780256,-126.76312509327599
368,35.49539886796667,2.4364286985513464,-126.45216086137745
369,37.62540142358898,-3.2291979531686623,-125.23943596308328
370,32.75635438389153,0.04949461571798082,-122.58410078157624
371,34.266436061844956,-0.6506798263980867,-124.5542224990566
372,33.17875186778421,-0.022131008874252345,-124.07725180744093
373,32.85420085885716,-2.46188773984507,-123.0405152857789
374,32.50502651897433,-0.6487390158675148,-145.79121231841137
375,33.47064892042523,3.4884423803566267,-123.70461370232624
376,32.65677939517898,-2.142243423943482,-127.33899718947067
377,33.98877279384897,-1.4837966504243887,-127.21161447390165
378,34.192971127740414,-2.7007822320722243,-124.51366384764746
379,34.51838793160855,1.443791850828581,-123.52585103486247
380,34.00315354850928,-3.7661336674582855,-126.95883628580721
381,34.010693921523256,-2.3881035121702636,-124.44738995072197
382,36.544193251363716,0.21361752635305392,-127.13075842268054
383,34.73684818037705,-0.5130184250810877,-123.03822700639
384,36.47072218744539,2.3914598572576096,-122.36403460684242
385,35.209836511271696,2.527193319780508,-116.17854689019373
386,34.27863109478591,0.4499215282888095,-132.48172430866384
387,33.91860747240755,2.932819849034937,-125.07301020009267
388,38.625810691913976,-0.633375384439205,-123.50612315910892
389,36.02355900383243,2.207026789495865,-120.02119924708322
390,33.83267482878444,-2.1598312674347206,-124.43308864964524
391,34.42390301101282,-1.663287676693362,-124.0691757890722
392,33.160229987744266,2.6364042249180755,-122.17079746381768
393,39.90625170835826,-0.11271945968708877,-124.79497294149735
394,33.427306109037914,-1.4019665652372584,-122.42192129736888
395,35.5166470297459,-0.4316241380343959,-129.48824746869496
396,37.02746643115287,-1.4784754143972088,-128.65785429900947
397,35.059180571643196,-3.8355945492523,-126.83424168414861
398,34.48131313968517,2.0648801707759072,-121.28054728399852
399,35.407344478712346,3.81079475572822,-124.42000951297447
400,37.658362902566594,1.819668846392917,-124.69218522249393
401,41.16799131907635,-1.00758004624813,-127.10004280729292
402,36.457547332295505,0.6459652629021275,-125.40837299837797
403,40.804933374161834,-0.21611633762465857,-129.75929151363022
404,35.29864015542703,1.592616882830884,-125.16700221442406
405,40.73287105291122,0.4868564613742447,-126.86819110121584
406,43.433155170371876,-0.8919092884417874,-128.57103232286067
407,38.10849926416747,-2.839600619260241,-123.80807788574037
408,37.67559642004463,-1.3282326264987647,-135.678644670893
409,35.88198632370433,-0.17052751112328102,-120.22610493627943
410,42.014425816888206,0.32448823674972843,-124.36480175967853
411,36.190432213413395,0.9222321311681757,-118.3497097492399
412,38.83748659654366,-0.3653847732608322,-124.0059765324983
413,36.057156627442176,2.5175025438864136,-125.28397772349075
414,38.6973463216069,-0.5827681899185732,-128.7843282405027
415,37.58890744805536,-1.6344220044846327,-131.18200208897824
416,37.438208364337434,4.146462640309406,-124.80341979665224
417,37.59028217693769,2.6853529859458205,-121.81753405236896
418,38.51398899083412,-4.917821283931053,-127.57355295059179
419,36.57604667534351,-3.7427384648108784,-123.56922929449914
420,42.86178418866155,2.5451313454759834,-142.36628733513106
421,40.03032494070436,-0.43687256130284624,-128.42979174029665
422,38.6909139545149,4.414350464986584,-133.13829501205296
423,40.14542561277382,-0.08757452969008056,-126.64424024351354
424,39.019904020931826,1.830263291825429,-133.26842293880728
425,38.22293641006469,-0.10687980181759059,-129.75258276773758
426,39.579402941980135,-0.43159334331273785,-125.84406012874862
427,40.82572565718589,2.415392969953677,-124.9700967851183
428,40.7919455332698,-3.81372038400979,-125.28527274499399
429,40.9026136293884,-3.119458536892306,-127.42746883300796
430,42.18485138805732,0.8077596561223492,-128.43898554984725
431,42.29183377761269,1.9983828632693519,-123.09366719622543
432,40.687854079043696,-3.8356628547653906,-140.8647833174628
433,42.16377735680005,3.892896320692054,-128.7534997330903
434,43.238221708947975,-1.380444262492434,-128.49957986938088
435,42.92742278909031,1.7868182374723307,-124.95337405798114
436,41.187383070084636,-8.776163791383409,-128.63217919659476
437,40.50706460808856,-1.3368145832451328,-147.66211084176555
438,42.565536055323655,-2.0853163829342596,-132.608166903189
439,43.05865786129258,-1.1431147009840992,-122.96927675647626
440,42.821070171257155,3.496403767228969,-123.02887191285865
441,44.8659423701298,-0.3391035286733669,-130.76519008650087
442,40.89152104111989,2.9931685130432,-125.88044841781335
443,42.12350269357166,-0.22366525291271558,-121.77787354327806
444,47.9961902070915,-5.352168029932061,-134.84346282762087
445,43.90125812783156,-0.5630057413331785,-123.55521858233136
446,41.70155972056983,0.8376840777787367,-127.42860777747424
447,43.12314868296959,-2.708068601944929,-123.06943073517353
448,43.28405075267103,1.186094699034977,-123.62476358868273
449,43.34459954480748,-1.175126431155579,-127.45967634924334
450,41.67946728697197,1.0773705780239098,-130.49859289571603
451,45.9151970880504,-2.1780723323445463,-127.3589314698489
452,43.3017449389085,3.3503124534442987,-124.19089912627975
453,43.20246149516475,-4.021093250987719,-125.37910932438294
454,43.03337231194648,0.7295511086594001,-129.602865680331
455,45.86388468157008,1.7527911374339078,-131.23626454696696
456,41.45438580967734,-0.3598684921819927,-131.31282937967154
457,44.190491285663974,-2.7313168314609544,-146.5141399998239
458,43.72889460057634,1.6285183920514732,-126.59939196128303
459,43.90860918122579,-2.188425396041561,-130.22725647007607
460,46.00841190750431,3.1746507025541155,-120.45566897429086
461,43.859061553654996,1.6196076471296266,-125.3549536281327
462,45.299815232516806,-0.2763401951877897,-127.97815317004401
463,42.796834510506685,6.432323817686267,-126.47318176719637
464,44.242072277277785,7.637047085663998,-123.17398778125332
465,46.96557302107748,5.983314577312472,-127.46617486332164
466,44.255618675088726,-0.19845766273186882,-125.12942274865881
467,44.33062064358207,6.002883888827289,-125.14385425608836
468,41.80333167756154,3.6162481436281353,-121.31833955376143
469,43.655529109644235,-4.345389353578571,-122.82967997259723
470,41.92653267620834,2.3136064804565426,-121.76249056653387
471,43.01791502161723,-2.2969039605339736,-125.90633102764588
472,40.96678222416685,-0.17500515177469161,-133.73145235962878
473,41.17342229344991,3.4541931346387593,-124.73833899889067
474,44.22417374712981,-0.21972659670601735,-124.22658066963054
475,43.488163438120424,2.9530645466004297,-121.40513632854422
476,44.82675719892573,-1.7053238227379606,-122.4173779899375
477,45.23193220827213,6.270819182764143,-126.99351606682298
478,44.321968610077576,4.399327655685975,-123.06416614772607
479,42.43525863432825,2.7760842559582968,-125.45251474842587
480,43.49833654704387,2.044684068883785,-125.77641788098204
481,44.410271564951096,2.0349665896930604,-138.53159980714815
482,43.908382168153345,4.74965459406322,-119.86849593045056
483,44.49927293490296,4.1662910210660735,-125.52272949663853
484,44.96601926530795,2.9132942841704192,-129.4503354812966
485,42.674715202299765,9.078970125348542,-127.77580850635178
486,46.61342003909205,2.936629492032617,-127.23682939709812
487,45.72977901365352,2.678553854645295,-128.2891723663963
488,44.68451701952427,4.491408092133799,-130.23443702603058
489,45.160352771810935,1.093979343784719,-148.98102158004454
490,43.843498771523905,3.280707865217963,-135.18960613394486
491,42.681592725477124,1.4349293859626129,-124.1466063545875
492,44.011810833165306,4.411642641482757,-136.97248404757448
493,43.71845131506353,1.4841840700294642,-119.51527907780005
494,45.168808793899814,4.321443637624991,-128.3974812600995
495,43.82362963623028,5.734541246260712,-118.14764262628265
496,44.95898708833077,8.065551999914982,-139.81839116724802
497,43.93779221490054,6.724982464648407,-126.41515478629863
498,43.40770505602248,5.023151957523787,-126.05715723778403
499,47.40300848926688,6.398191615272118,-128.73453585777244
